<CHEBI_32631> <CHEBI_32644>
<HP_0003893> <HP_0010656>
<UBERON_0005427> <UBERON_0010312>
<HP_0009898> <HP_0009895>
<HP_0033368> <HP_0002094>
<HP_0032706> <HP_0032681>
<HP_0410019> <HP_0012531>
<UBERON_0001012> <UBERON_0005055>
<UBERON_0010881> <UBERON_0015061>
<HP_0032636> <HP_0001969>
<HP_6001141> <HP_0030834>
<HP_0034527> <HP_0034526>
<HP_0032126> <HP_0032124>
<UBERON_0008435> <UBERON_0004247>
<HP_0003840> <HP_0003839>
<HP_0009688> <HP_0009599>
<HP_0009200> <HP_0009153>
<HP_0025793> <HP_0008768>
<UBERON_0014649> <UBERON_0014891>
<UBERON_0001816> <UBERON_0001810>
<HP_0032705> <HP_0032692>
<HP_0011556> <HP_0001750>
<HP_0000346> <HP_0000205>
<UBERON_0011766> <UBERON_0003716>
<GO_0048709> <GO_0010001>
<PATO_0000941> <PATO_0002014>
<PATO_0000912> <PATO_0002304>
<HP_0031004> <HP_0001284>
<HP_0002048> <HP_0012585>
<GO_0030858> <GO_0030856>
<CL_1000708> <CL_1000601>
<HP_0020294> <HP_0020287>
<UBERON_0005427> <UBERON_0010313>
<CL_0000680> <CL_0000255>
<HP_6000418> <HP_0001482>
<HP_0032696> <HP_0032680>
<HP_0410070> <HP_0031979>
<HP_0012627> <HP_0004328>
<CHEBI_137982> <CHEBI_25697>
<HP_0008663> <HP_0100242>
<UBERON_0019190> <UBERON_0005181>
<CL_1000362> <CL_0002073>
<HP_0010681> <HP_0003155>
<HP_6000880> <HP_0030057>
<HP_0041166> <HP_0003468>
<GO_2001200> <GO_1902107>
<HP_0034585> <HP_0011396>
<PATO_0001241> <PATO_0000001>
<HP_0032477> <HP_0032476>
<HP_0001298> <HP_0012638>
<CL_0009019> <CL_0002681>
<UBERON_0003914> <UBERON_0000483>
<HP_4000122> <HP_0032443>
<UBERON_0010885> <UBERON_0015022>
<PATO_0001400> <PATO_0001397>
<HP_0500226> <HP_0500225>
<HP_0002607> <HP_0031064>
<HP_0002445> <HP_0030182>
<HP_0010090> <HP_0010052>
<HP_0034971> <HP_0002585>
<UBERON_0034713> <UBERON_0015212>
<UBERON_0003327> <UBERON_0003859>
<UBERON_0004489> <UBERON_0004481>
<PATO_0001549> <PATO_0002305>
<HP_0034193> <HP_0033802>
<HP_0008114> <HP_0001832>
<HP_0007642> <HP_0000662>
<HP_0003637> <HP_0012379>
<HP_0025410> <HP_0025408>
<HP_0010334> <HP_0010112>
<UBERON_0018117> <UBERON_0005270>
<UBERON_0002130> <UBERON_0019263>
<HP_0004972> <HP_0032263>
<UBERON_0004022> <UBERON_0005291>
<UBERON_0001710> <UBERON_0000475>
<UBERON_0002387> <UBERON_0002470>
<UBERON_0001020> <UBERON_0001018>
<HP_0009760> <HP_0001059>
<GO_0043005> <GO_0120025>
<HP_0009547> <HP_0009541>
<UBERON_8300001> <UBERON_0002102>
<UBERON_0002213> <UBERON_0011134>
<NBO_0000416> <NBO_0000411>
<CHEBI_22727> <CHEBI_38166>
<HP_0003231> <HP_0010917>
<UBERON_0006430> <UBERON_0005181>
<HP_0034984> <HP_0034756>
<HP_0025201> <HP_0010876>
<GO_0031340> <GO_0051050>
<HP_0010302> <HP_0002143>
<HP_0000964> <HP_0011123>
<HP_0007267> <HP_0003477>
<HP_0100090> <HP_0010323>
<CHEBI_139588> <CHEBI_17087>
<HP_0032506> <HP_0004305>
<CHEBI_23117> <CHEBI_24471>
<GO_0008483> <GO_0016769>
<HP_0009606> <HP_0010001>
<HP_0030041> <HP_0003468>
<HP_0009328> <HP_0009334>
